epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3786.01,1.27211,0.1936,0.00984,0.9982,0.99659,0.99487,0.76756,1.15835,0.09307,0.01732,5.99734e-05,5.99734e-05,0.0003
2,7542.76,1.13438,0.09118,0.0087,0.9971,0.99636,0.9949,0.762,1.20263,0.0955,0.01749,0.000119969,0.000119969,0.000299996
3,11289.2,1.11036,0.08761,0.00851,0.99827,0.9971,0.99489,0.78103,1.11541,0.0868,0.01661,0.000179946,0.000179946,0.000299973
4,15179.5,1.08637,0.08555,0.00831,0.99829,0.99694,0.99491,0.77784,1.13344,0.08805,0.01705,0.000239892,0.000239892,0.000299919
5,18859.4,1.07619,0.08444,0.00823,0.99858,0.99742,0.99488,0.76791,1.18649,0.0916,0.01821,0.000299793,0.000299793,0.00029982
6,22899.1,1.0639,0.08267,0.00814,0.9985,0.99722,0.99487,0.76939,1.17787,0.08878,0.01815,0.000299719,0.000299719,0.000299719
